new_n,new_e,new_v,Date
-0.00099857803125,-0.00074617206625,0.006313223400000001,2006-01-01
-0.00073566016,-0.0004641813075,0.0066349143262500005,2006-01-02
-0.000355623185,-0.00040592195750000003,0.0029778616974999996,2006-01-03
0.0002736539025,0.00010017323000000001,-0.002178615375,2006-01-04
0.00068888521875,0.0006528167999999999,-0.00474261390125,2006-01-05
0.00017037925125,0.00043881662874999995,-0.00245055558,2006-01-06
-0.0003077601375,-0.00033980015,0.0015366434349999999,2006-01-07
-0.00027939137499999995,-0.0006394720025,0.0005186226925,2006-01-08
-0.00038211991875,5.69988175001e-05,-0.001794470285,2006-01-09
-0.0009150731174999999,2.2391537500000017e-05,-0.0007244526025,2006-01-10
-0.0009430781987500002,-0.000500082535,0.0019533265375,2006-01-11
-0.00024444411125,-0.000663470815,0.0013122751625,2006-01-12
-0.00011076021250000002,-3.0210759999999996e-05,0.00077631908875,2006-01-13
-0.00035966076125000003,-0.00014768529,0.00331948466375,2006-01-14
-0.00021992988125,-0.00069147247875,0.0017704618375,2006-01-15
-5.906080000100017e-06,-0.00020957966125,-0.00073865493375,2006-01-16
-0.00038817519625,0.00022149948125,-0.001170026275,2006-01-17
-0.0007957366325,-0.00044191140125,0.00256922985875,2006-01-18
-0.00013447923625,-0.000945198835,0.0017543127425,2006-01-19
3.972835875e-05,-3.9963266250000003e-05,0.0005678959875,2006-01-20
0.00019473007625,0.00047008119125,-0.00044471296375000005,2006-01-21
0.00038055935749999997,0.00028328730875,-0.00146865032,2006-01-22
0.00034083284375,-0.00015269511000000005,-0.00217424117875,2006-01-23
0.00066481069625,4.62432424999e-05,-0.0014142722675,2006-01-24
0.00012040769,0.00032962620374999996,-0.00016247847875,2006-01-25
-0.00026665056875009997,-2.5621312499999975e-06,0.0009120556799999999,2006-01-26
-0.0003457805250001,2.7394302499999996e-05,0.00019836602375,2006-01-27
-0.00046709503875,-7.571247499999996e-06,-0.0002149331725,2006-01-28
-0.00049255635875,-0.00039640000624999996,0.00033026933499999997,2006-01-29
-0.0007742142837499999,-0.00021532013000000001,0.00100781242125,2006-01-30
-0.0006256583762499,-0.0004628095425,0.00215203057375,2006-01-31
-0.001079220125,-0.0006035506949999999,0.0033778645399999002,2006-02-01
-0.00058511082625,-0.00081645202625,0.0035509265675,2006-02-02
9.220956874989998e-05,-0.00033662659500000003,0.0015189677200000001,2006-02-03
-0.00011709095124999997,6.549267499900006e-06,0.0012623475700000001,2006-02-04
0.00039695145000000003,-0.00025967969375,-0.0001508688499999,2006-02-05
0.0003080051325,0.00033026799374999996,-0.0022340792975,2006-02-06
0.0002411984275,0.0004508364025,-0.0034973337175,2006-02-07
0.00031078073,0.00037591764500000005,-0.0031009790925,2006-02-08
0.0006632458175,0.00038733298125,-0.002918540015,2006-02-09
0.00101199744625,0.0006174155824999999,-0.0035283799412499997,2006-02-10
0.00085058625125,0.000725830415,-0.0054369474175,2006-02-11
0.00048968527375,0.00067182178375,-0.00512287515,2006-02-12
0.0003618011125,0.00025713527375,-0.0030074463462499996,2006-02-13
0.00037750916875,-0.0004556478699999,0.00011798592249999999,2006-02-14
0.0003764079625,-0.00066362305875,0.00142327771,2006-02-15
0.00051007664625,-0.00020000669875,-0.0016293235349999,2006-02-16
0.00078208786875,0.00019475565375,-0.0020718782875,2006-02-17
0.000572724775,0.00012657840249999998,-0.00056215189125,2006-02-18
3.617214875e-05,-8.560561125000002e-05,-0.00017904307624999998,2006-02-19
-1.0735692499999996e-05,-0.0004974523887499,-0.0008441820725,2006-02-20
2.20986825e-05,-0.0007887629675,-0.00019420932,2006-02-21
0.00016261907,-0.00063600037875,4.7277880000000036e-05,2006-02-22
0.0005019028337500001,-4.1470118749999994e-05,-0.0007064549825,2006-02-23
0.00074039768625,0.00017626491125000002,-0.00074397958,2006-02-24
0.0007866332612500001,0.0005683590349999999,-0.00167858573125,2006-02-25
0.00024296119875,0.0007164384787499999,-0.00028661578749999994,2006-02-26
-0.00060477735375,0.0001937586925,0.0036797140275,2006-02-27
-0.000736114995,-0.00019909913999989996,0.0048413367399999,2006-02-28
-0.0001867842012499,-0.00012347953124999995,0.0003154109349999,2006-03-01
-6.74970625000001e-06,6.80057700001e-05,-0.0001084606375,2006-03-02
0.00013137687124999999,-9.585069625000001e-05,0.0012831970825000001,2006-03-03
-0.0001174133325,-0.0001300859262499,-0.000479784565,2006-03-04
-0.000192516535,0.00043761631375,-0.0008553389349999999,2006-03-05
-0.00064987406875,0.00028091381499989996,0.00045565557625,2006-03-06
-0.00092055199375,-0.00044090043,0.00098839603,2006-03-07
-0.0010806681,-0.0010589356575,0.001790525065,2006-03-08
-0.0013611202324999999,-0.00165759035375,0.00519533132375,2006-03-09
-0.00063979672125,-0.00147423758,0.0076467636125,2006-03-10
0.00021108695625,-0.0007785662749999998,0.00638131613125,2006-03-11
0.00030715632124999996,-0.0008027372375,0.003788440475,2006-03-12
9.161581125e-05,-0.00063059395,0.00045438506125000005,2006-03-13
-6.991750249999999e-05,3.217183624999999e-05,0.0015263432525,2006-03-14
0.00034220948125000003,0.00019552339000010002,0.0005362265000000001,2006-03-15
0.00047939468500000004,0.0005159816075,-0.0003951466787499,2006-03-16
0.00052213770875,0.00045547214125,0.00089799425625,2006-03-17
0.00068736355875,-6.027362124999997e-05,0.00107426531125,2006-03-18
0.00067117593375,-0.00039029779375,0.00148106111875,2006-03-19
0.00015632202125,-0.00024050506625,0.0029978241237499,2006-03-20
0.00013333141375,-0.00013632355875000003,0.0022987638062499996,2006-03-21
0.000484964745,0.0003271875412499,-0.00197150149625,2006-03-22
0.00036756589750000003,0.00059409427375,-0.0038534100262500003,2006-03-23
-0.00020626303875,0.00026122151749999995,-0.0019567777625,2006-03-24
-0.0005065820012499,4.095239375e-05,0.0013966206462501,2006-03-25
-0.00030300756875,-0.00021177068875,0.0005102420987500001,2006-03-26
-0.00026125535875,0.00027106882625,0.0011357090887500001,2006-03-27
-0.00056124225375,1.968552875e-05,0.0031475983087499997,2006-03-28
-0.00049344027375,-0.0005113560175,0.00348685241625,2006-03-29
-0.00018750427000000002,-0.00026722915125,0.00142476904125,2006-03-30
